Flavour,Gender,18-29,30-44,45-64,65+
Vanilla,1,17,5,13,11
Vanilla,0,17,5,13,11
Chocolate,1,9,10,12,10
Chocolate,0,9,10,12,10
Strawberry,1,9,6,5,5
Strawberry,0,9,6,5,5
Butter Pecan,1,3,4,11,15
Butter Pecan,0,3,4,11,15
Mint Chocolate Chip,1,7,8,11,7
Mint Chocolate Chip,0,7,8,11,7
Cookies and Cream,1,8,14,4,1
Cookies and Cream,0,8,14,4,1
Chocolate Chip,1,1,2,2,2
Chocolate Chip,0,1,2,2,2
Chocolate Chip Cookie Dough,1,10,5,5,3
Chocolate Chip Cookie Dough,0,10,5,5,3
Rocky Road,1,3,3,4,7
Rocky Road,0,3,3,4,7
Coffee,1,2,7,4,5
Coffee,0,2,7,4,5
Pistachio,1,3,5,4,3
Pistachio,0,3,5,4,3
Neapolitan,1,1,1,2,3
Neapolitan,0,1,1,2,3
Cherry,1,2,1,1,3
Cherry,0,2,1,1,3
Cake Batter,1,2,2,0,0
Cake Batter,0,2,2,0,0
Birthday Cake,1,1,5,1,0
Birthday Cake,0,1,5,1,0
Butterscotch,1,0,2,0,1
Butterscotch,0,0,2,0,1
Caramel,1,2,1,3,4
Caramel,0,2,1,3,4
Chocolate peanut butter,1,2,5,6,
Chocolate peanut butter,0,2,5,6,
Peanut butter,1,2,4,2,1
Peanut butter,0,2,4,2,1
Peach,1,1,1,1,1
Peach,0,1,1,1,1
Raspberry,1,2,1,2,2
Raspberry,0,2,1,2,2
$other_icecream,1,2,2,4,6
$other_icecream,0,2,2,4,6
I don't eat ice cream,1,6,2,2,3
I don't eat ice cream,0,6,2,2,3
I'm not sure which ice cream like,1,5,4,1,1
I'm not sure which ice cream like,0,5,4,1,1
